"Date","Department","Category","Region","Budget Amount","Actual Amount","Payment Method","Transaction ID"
"2023-05-11","Sales","Travel","North","126096","43048","Card","TXN100000"
"2023-11-11","Marketing","Salaries","East","19702","87896","Bank Transfer","TXN100001"
"2021-05-02","IT","Training","Central","108523","103632","Card","TXN100002"
"2022-04-12","Marketing","Salaries","North","114711","105574","Cash","TXN100003"
"2021-11-27","Sales","Utilities","Central","121895","64314","UPI","TXN100004"
"2021-03-29","Finance","Marketing","East","37762","77044","Bank Transfer","TXN100005"
"2023-05-22","IT","Marketing","West","144311","69127","UPI","TXN100006"
"2021-05-11","HR","Marketing","Central","22567","53015","Cash","TXN100007"
"2023-02-09","IT","Infrastructure","West","95737","58734","UPI","TXN100008"
"2021-12-10","IT","Salaries","East","16857","153432","Cash","TXN100009"
"2023-03-17","IT","Utilities","East","75603","73056","Bank Transfer","TXN100010"
"2022-01-21","Finance","Utilities","Central","85399","109122","Cash","TXN100011"
"2023-08-14","Sales","Marketing","Central","68086","70502","Bank Transfer","TXN100012"
"2021-10-04","HR","Training","East","99145","51102","UPI","TXN100013"
"2022-04-05","Sales","Infrastructure","Central","42270","148677","Cash","TXN100014"
"2021-01-22","Marketing","Infrastructure","Central","130071","79899","Card","TXN100015"
"2021-09-10","Marketing","Marketing","Central","12012","99017","Card","TXN100016"
"2023-01-18","Marketing","Marketing","Central","69049","120109","Card","TXN100017"
"2023-05-07","Sales","Salaries","North","94989","30133","Bank Transfer","TXN100018"
"2022-04-20","Operations","Training","East","99586","30720","Cash","TXN100019"
"2023-12-19","Finance","Infrastructure","East","49080","167039","Card","TXN100020"
"2022-05-26","Operations","Utilities","South","66879","149486","Bank Transfer","TXN100021"
"2022-12-01","Marketing","Marketing","West","75888","11379","Card","TXN100022"
"2023-09-03","Finance","Salaries","South","125951","142223","UPI","TXN100023"
"2021-07-09","Sales","Utilities","Central","47146","62758","UPI","TXN100024"
"2023-08-16","Marketing","Infrastructure","Central","126293","82140","UPI","TXN100025"
"2022-11-18","Sales","Marketing","North","103948","76187","Card","TXN100026"
"2023-08-16","Finance","Training","North","46166","24308","Bank Transfer","TXN100027"
"2022-07-17","Sales","Marketing","North","129239","163833","Card","TXN100028"
"2023-04-12","Sales","Training","North","144078","83304","Bank Transfer","TXN100029"
"2022-10-09","HR","Salaries","North","142076","142230","Card","TXN100030"
"2021-01-21","Operations","Salaries","North","147039","162847","Bank Transfer","TXN100031"
"2023-04-21","Operations","Infrastructure","North","28879","154557","Card","TXN100032"
"2021-06-16","Operations","Training","North","12261","123857","Cash","TXN100033"
"2022-01-23","IT","Marketing","North","42323","118946","Cash","TXN100034"
"2022-08-24","HR","Salaries","East","45864","130300","Bank Transfer","TXN100035"
"2021-11-12","Marketing","Marketing","North","17927","121002","UPI","TXN100036"
"2021-01-14","Marketing","Infrastructure","West","92256","104791","UPI","TXN100037"
"2021-08-30","Marketing","Training","North","94903","29787","UPI","TXN100038"
"2023-02-16","Operations","Marketing","Central","131686","136324","Bank Transfer","TXN100039"
"2022-07-19","Operations","Utilities","Central","64150","56793","Cash","TXN100040"
"2023-06-17","HR","Marketing","North","117167","15153","Bank Transfer","TXN100041"
"2021-04-02","Sales","Travel","North","23056","63766","Card","TXN100042"
"2023-08-14","Operations","Travel","Central","20798","13931","Card","TXN100043"
"2022-05-24","Marketing","Infrastructure","West","116491","35040","Card","TXN100044"
"2023-02-15","Sales","Infrastructure","South","61747","122329","Card","TXN100045"
"2021-02-04","Operations","Infrastructure","East","45738","156344","Card","TXN100046"
"2021-07-25","Finance","Utilities","Central","27227","138197","Card","TXN100047"
"2023-10-23","IT","Training","North","93800","73939","UPI","TXN100048"
"2023-10-19","Operations","Utilities","East","136531","20801","UPI","TXN100049"
"2022-07-20","Finance","Marketing","North","69461","114280","Card","TXN100050"
"2022-12-04","HR","Salaries","South","67848","35064","Bank Transfer","TXN100051"
"2022-02-06","Finance","Training","South","34685","11985","Cash","TXN100052"
"2022-12-31","HR","Travel","Central","101517","89796","Card","TXN100053"
"2021-06-11","Operations","Travel","East","129180","166687","Card","TXN100054"
"2021-07-21","HR","Travel","East","13480","67466","Bank Transfer","TXN100055"
"2023-09-23","Finance","Marketing","South","25860","132052","UPI","TXN100056"
"2021-09-27","IT","Marketing","North","78578","14549","Bank Transfer","TXN100057"
"2023-03-27","Sales","Infrastructure","Central","67230","78664","Cash","TXN100058"
"2022-04-01","Sales","Salaries","West","67026","20801","Cash","TXN100059"
"2023-10-14","IT","Infrastructure","South","16564","121901","Bank Transfer","TXN100060"
"2021-10-23","Marketing","Marketing","South","30012","59380","Card","TXN100061"
"2022-12-21","Sales","Utilities","Central","64169","56442","UPI","TXN100062"
"2021-12-04","Operations","Infrastructure","North","36341","18505","Card","TXN100063"
"2023-05-29","Marketing","Training","East","56841","85906","Card","TXN100064"
"2023-12-13","Operations","Marketing","South","102584","67228","Card","TXN100065"
"2023-03-03","Finance","Marketing","Central","53335","88129","Card","TXN100066"
"2021-08-05","Finance","Utilities","Central","65155","99695","UPI","TXN100067"
"2023-02-03","Marketing","Utilities","Central","108314","71275","Bank Transfer","TXN100068"
"2021-07-07","Marketing","Utilities","East","39527","37621","Cash","TXN100069"
"2022-01-15","Marketing","Salaries","South","105466","27538","Cash","TXN100070"
"2022-05-08","Marketing","Training","Central","60653","77024","UPI","TXN100071"
"2023-12-01","HR","Marketing","East","111907","23332","Bank Transfer","TXN100072"
"2021-01-15","Marketing","Utilities","North","43057","158234","UPI","TXN100073"
"2021-03-06","Marketing","Salaries","West","113992","32594","Card","TXN100074"
"2022-06-05","Finance","Travel","South","17393","19793","UPI","TXN100075"
"2022-10-10","Operations","Training","East","85404","28850","Bank Transfer","TXN100076"
"2023-12-23","Finance","Travel","West","101956","68438","Cash","TXN100077"
"2022-08-16","Sales","Travel","West","94613","31936","UPI","TXN100078"
"2022-01-27","HR","Marketing","East","69171","120442","Cash","TXN100079"
"2022-02-23","HR","Salaries","East","39336","11827","Cash","TXN100080"
"2021-10-16","Operations","Salaries","East","22014","66889","Cash","TXN100081"
"2022-01-14","Marketing","Travel","Central","149446","133306","Bank Transfer","TXN100082"
"2021-08-19","Finance","Training","North","101513","54790","Card","TXN100083"
"2023-10-15","Sales","Infrastructure","Central","146656","74352","Card","TXN100084"
"2021-02-10","Finance","Travel","West","94769","68215","Bank Transfer","TXN100085"
"2023-11-18","Marketing","Marketing","West","136092","161382","Card","TXN100086"
"2021-05-15","Marketing","Travel","West","38782","66207","Card","TXN100087"
"2021-07-20","IT","Training","East","120463","69643","Card","TXN100088"
"2023-02-19","Finance","Training","South","95847","85319","UPI","TXN100089"
"2023-07-19","Operations","Travel","Central","98434","81095","Card","TXN100090"
"2023-11-23","Finance","Salaries","South","70773","126060","UPI","TXN100091"
"2023-12-08","HR","Travel","North","24110","50890","Cash","TXN100092"
"2022-05-18","Sales","Utilities","North","98512","103736","UPI","TXN100093"
"2022-02-11","Operations","Utilities","Central","15825","146080","Card","TXN100094"
